CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,9,9,14,63.08,"7,975.00",108.35,150,"7,818.60","8,049.65",750,"39,500.00","18,135",1.30,1.35,"3,450",0.05,1.35,49.20,"45,573",819,"16,458",
,-,-,-,-,-,-,750,"7,162.90","7,751.75",750,"40,000.00","18,285",1.40,1.45,"10,695",-,1.40,46.25,"35,958","4,768","10,845",
,-,-,-,-,-,-,750,"6,277.20","7,236.80",750,"40,500.00",915,1.65,1.70,105,-0.25,1.70,43.69,"9,953","1,050","2,605",
,2,1,2,65.01,"6,521.65",31.65,360,"6,384.70","6,517.60",75,"41,000.00","18,195",1.60,1.65,"5,295",-0.25,1.65,40.48,"63,957","13,569","24,170",
,-,-,-,-,-,-,750,"5,219.65","6,215.85",750,"41,500.00",300,2.30,2.35,"2,100",-0.10,2.30,38.79,"22,485","7,082","7,446",
,1,-,2,-,"5,364.85",-40.40,225,"5,378.75","5,650.50",750,"42,000.00","5,370",2.30,2.35,915,-0.55,2.40,35.73,"30,456","8,148","9,944",
,16,-,-,-,-,-,750,"4,687.85","5,181.10",750,"42,500.00","4,860",2.35,2.40,"2,580",-1.10,2.40,32.74,"24,118","1,599","3,864",
,88,-1,3,-,"4,460.00",-30.25,75,"4,402.05","4,540.90",750,"43,000.00","3,075",2.60,2.70,"4,245",-52.05,2.65,30.05,"47,750","4,545","4,545",
,69,-,-,-,-,-,750,"3,706.00","4,132.10",750,"43,500.00","1,140",3.10,3.15,"4,530",-1.75,3.10,27.30,"1,28,500","-9,669","42,537",
,192,-,3,41.24,"3,550.00",88.70,120,"3,367.05","3,478.00",120,"44,000.00","3,090",3.65,3.70,"9,600",-2.00,3.70,24.52,"2,48,022","7,268","47,911",
,2,-,-,-,-,-,750,"3,026.45","3,433.45",750,"44,200.00",480,3.85,3.90,"1,605",-2.50,3.90,23.41,"49,851","-1,821","11,727",
