CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,20,20,22,-,"2,018.00",335.85,200,"1,974.95","2,018.55",150,"19,650.00","1,300",1.10,1.15,700,-0.50,1.10,27.40,"4,253",957,"2,144",
,75,33,55,-,"1,951.75",-34.90,150,"1,952.55","1,964.45",150,"19,700.00","10,850",1.15,1.20,"13,050",-0.60,1.15,26.77,"36,154","22,626","24,477",
,-,-,1,-,"1,905.00",317.90,50,"1,873.00","1,908.00",50,"19,750.00",200,1.20,1.40,"1,200",-15.90,1.45,26.82,257,129,129,
,18,7,18,-,"1,852.00",112.00,150,"1,853.10","1,862.20",50,"19,800.00","5,550",1.30,1.35,"14,700",-0.45,1.35,25.96,"18,451","14,791","15,139",
,-,-,-,-,-,-,150,"1,773.35","1,851.45","1,500","19,850.00",150,1.25,1.65,450,-21.30,1.40,25.42,81,62,62,
,6,6,7,-,"1,765.00",318.45,150,"1,708.85","1,777.15",300,"19,900.00","1,000",1.40,1.50,"3,950",-0.40,1.40,24.87,"1,360",448,747,
,9,8,28,-,"1,724.00",48.95,50,"1,677.80","1,713.80",500,"19,950.00",300,1.30,1.65,150,-27.80,1.50,24.32,80,79,79,
,673,460,514,-,"1,656.00",-26.40,500,"1,655.45","1,658.00",50,"20,000.00","5,300",1.50,1.55,"16,300",-0.60,1.50,23.76,"30,217","14,632","22,201",
,117,37,38,-,"1,620.00",80.00,50,"1,597.05","1,620.45",50,"20,050.00",150,1.45,1.70,150,-35.60,1.85,23.02,199,150,150,
,43,40,49,-,"1,552.00",115.75,150,"1,554.45","1,561.15",200,"20,100.00","1,850",1.65,1.70,"3,100",-0.35,1.75,22.55,"1,958",808,875,
,2,2,3,-,"1,520.00",300.15,50,"1,477.35","1,513.85",500,"20,150.00","2,250",1.60,1.65,250,-0.60,1.55,21.97,734,87,414,
,46,44,46,-,"1,460.00",140.00,150,"1,454.55","1,465.65","2,200","20,200.00",350,1.65,1.70,"8,750",-0.65,1.65,21.32,"3,730","1,440","1,992",
,81,44,47,-,"1,370.00",39.00,50,"1,383.80","1,411.50",200,"20,250.00",150,1.75,1.80,"3,350",-0.30,1.85,20.95,"1,146",219,496,
,11,10,12,-,"1,340.00",-40.00,300,"1,352.30","1,363.90",450,"20,300.00","10,350",1.80,1.85,"14,800",-0.50,1.85,20.22,"6,343","1,944","3,380",
,-,-,1,-,"1,295.00",247.55,150,"1,283.05","1,314.80",450,"20,350.00","1,600",1.80,1.85,"2,500",-0.60,1.85,19.62,"2,039",-50,753,
,70,38,40,-,"1,271.00",-4.35,100,"1,256.05","1,263.30",50,"20,400.00","15,000",1.95,2.00,"12,000",-0.55,1.95,19.15,"7,635",525,"3,518",
,20,14,19,-,"1,225.00",110.00,450,"1,204.25","1,216.95","1,700","20,450.00","3,450",2.05,2.15,"3,450",-0.85,2.10,18.59,"2,946",260,"1,829",
,867,718,754,-,"1,157.65",-32.35,300,"1,156.75","1,160.00",50,"20,500.00","30,350",2.25,2.35,"25,450",-0.75,2.30,18.13,"49,711","12,098","29,959",
,92,92,94,-,"1,118.00",232.75,200,"1,107.00","1,115.70","3,550","20,550.00","5,550",2.30,2.40,"4,850",-1.05,2.40,17.45,"3,460",694,"1,354",
,250,98,120,-,"1,065.00",-23.25,100,"1,057.90","1,062.30",300,"20,600.00","7,550",2.55,2.60,"9,750",-1.00,2.60,17.01,"48,524","1,438","13,193",
,-,-,-,-,-,-,300,984.65,"1,025.45","1,800","20,650.00","4,700",3.00,3.10,"2,800",-1.30,3.00,16.69,"9,532","2,510","4,222",
,58,28,34,-,961.85,44.65,150,959.05,963.00,200,"20,700.00","43,050",3.45,3.50,"22,150",-1.20,3.45,16.25,"39,398","8,413","15,278",
,11,8,12,-,885.40,-52.85,100,909.60,915.30,300,"20,750.00",550,3.90,4.00,"3,000",-1.55,3.90,15.93,"7,423",873,"2,615",
,418,297,343,-,859.65,-15.70,150,860.30,864.80,100,"20,800.00","4,300",4.45,4.50,"30,250",-1.90,4.50,15.48,"76,023","15,451","27,681",
,2,-,-,-,-,-,350,788.50,833.75,"1,800","20,850.00","1,900",5.25,5.35,"3,250",-1.80,5.25,15.20,"13,455","2,415","4,409",
,428,335,371,-,762.00,-22.50,150,762.75,765.55,100,"20,900.00","1,000",6.45,6.50,"4,450",-2.15,6.50,14.98,"84,999","23,788","32,873",
,4,-,-,-,-,-,400,691.15,735.45,"1,800","20,950.00","3,500",7.45,7.55,"3,150",-2.65,7.45,14.55,"21,125","3,108","5,891",
,"4,205","1,956","4,234",-,667.25,-21.65,100,666.00,667.95,100,"21,000.00","7,250",9.00,9.10,"9,050",-3.00,9.00,14.28,"1,29,003","19,571","50,835",
,31,8,19,-,620.00,23.05,150,617.65,621.30,50,"21,050.00","6,450",10.80,10.95,"5,100",-2.95,11.00,13.99,"21,079","1,991","4,174",
,"1,163",312,682,-,563.60,-34.20,750,570.40,572.85,50,"21,100.00","1,500",13.30,13.35,"1,250",-2.85,13.40,13.70,"65,965","8,627","18,139",
,179,96,250,-,519.90,-38.00,150,523.65,526.15,400,"21,150.00",400,16.30,16.40,"4,500",-3.60,16.45,13.50,"28,625",801,"5,126",
,"1,781",700,"2,464",-,474.00,-33.80,300,477.90,479.80,100,"21,200.00",950,20.40,20.50,"7,150",-3.80,20.50,13.31,"98,403","7,384","27,648",
,360,100,578,-,429.20,-36.20,100,433.25,434.80,950,"21,250.00","2,850",25.20,25.35,"1,900",-4.20,25.25,13.11,"45,465","4,696","9,578",
,"2,536","1,522","5,001",6.61,388.50,-30.30,150,389.70,390.00,50,"21,300.00","1,450",31.55,31.65,"3,750",-4.15,31.65,12.99,"1,17,183","12,677","34,086",
,437,134,"1,122",8.37,347.00,-24.80,150,347.20,348.25,750,"21,350.00","1,100",38.80,38.95,"2,450",-3.55,39.05,12.84,"67,012","7,572","14,770",
,"8,120","1,023","15,091",8.91,305.75,-23.85,"1,000",306.35,307.00,50,"21,400.00",50,47.80,47.90,"1,000",-3.90,47.95,12.67,"1,89,584","10,333","42,381",
,"1,506",661,"4,539",9.24,267.65,-27.00,250,268.25,269.20,50,"21,450.00","1,550",58.60,58.80,"1,550",-4.45,58.90,12.55,"80,743","14,552","22,463",
,"15,803","1,188","68,181",9.63,232.90,-25.70,250,232.40,233.00,450,"21,500.00","3,400",73.00,73.25,"4,200",-4.25,73.15,12.57,"2,70,305","14,211","45,324",
,"5,269",414,"29,956",9.88,199.15,-25.25,"1,250",199.00,199.45,50,"21,550.00",900,89.15,89.40,50,-4.25,89.25,12.51,"1,02,154","6,259","13,810",
,"30,353","7,441","2,08,343",9.95,168.15,-24.70,"1,800",168.05,168.35,"1,700","21,600.00",500,108.20,108.35,400,-3.10,108.30,12.50,"3,21,399","15,053","40,519",
,"26,774","18,592","1,92,351",10.08,140.55,-24.40,"2,150",140.15,140.50,"1,450","21,650.00",700,130.05,130.40,"1,200",-2.40,130.35,12.51,"1,85,535","12,696","18,246",
,"69,771","40,592","5,09,895",10.14,115.05,-22.90,"2,600",115.15,115.30,50,"21,700.00",50,155.55,155.75,"1,650",-1.30,155.75,12.62,"4,12,921","10,986","27,916",
,"25,097","18,689","1,44,385",10.24,93.90,-21.85,"1,850",93.80,94.05,200,"21,750.00",50,183.35,183.60,350,2.65,183.80,12.67,"64,393","2,697","4,579",
,"49,649","23,180","2,78,987",10.26,74.85,-19.65,"2,050",74.65,74.85,"1,300","21,800.00",800,214.35,214.85,450,3.20,215.40,12.82,"72,827","3,186","10,728",
